iso3c,gdp_per_capita,return_to_education,working_age_pop
SGP,68314.5444,13.2,2095381
MRT,5008.608071,7.724429607,747622
PLW,15440.07646,12.35029984,9748
SWZ,6189.644909,14.91200066,294866
DZA,11742.59468,2.2,11100918
CAN,48774.16755,11,14095479
ISR,32590.22862,12.1,2468052
KAZ,14612.02901,8,6410659
MAR,5417.578613,2.8,10452740
BLR,12443.93226,6.9,4323458
BIH,8363.913645,8.1,1785062
JAM,9716.895557,10.28470039,964792
JOR,8638.080331,8.89896965,1962252
GMB,2682.479933,6.8,447035
TCD,1871.639902,7.151740074,2568184
SYR,8177.545069,4.390220165,5578607
MDV,15958.65579,8.1,98602
TJK,1878.286962,3.6,2197460
COM,2422.721351,6.49229002,152388
COD,892.4352911,6.280250072,16184698
BLZ,12702.74198,10,95163
GAB,20385.28999,13.52810001,460653
KEN,3844.735571,16.87129974,10420987
MKD,13353.72567,5.698940277,855600
PRI,42555.70812,12.58199978,1531402
SLB,2287.259989,5.855530262,151885
BGD,3407.42735,10,51589362
IRN,13416.84151,7.6,28953097
IRQ,10568.91377,0.7,8875770
ARE,92044.51261,7,3093908
TLS,3258.126757,3.9,300445
AFG,2155.353068,1.55242002,6694640
CMR,4302.619263,11.6043005,5194394
JPN,42182.17586,13.95190048,50623195
ZWE,2395.988843,21.88710022,3566041
ARM,11727.48213,4.001830101,1290965
CIV,4096.723469,11.25470066,6214929
LAO,4367.16288,5.104110241,1967448
MOZ,1141.942562,14.09240055,5992167
CHN,9518.432147,10.33,615961367
SDN,4188.054688,4.9,10123973
BWA,13489.95092,18.20950127,724435
BFA,1779.323056,7.415109634,4434119
CRI,17932.61478,10.63389969,1869368
SLV,8494.498474,9.192410469,2101396
IND,4731.361605,8.311300278,463910330
IRL,58623.11831,8.139769554,2006306
NIC,5538.365893,5.962660313,1969876
PNG,3349.643454,6.140309811,2611265
RUS,31654.00391,2.621659994,64719498
AUS,52589.81821,8.3,9283014
KWT,62956.21532,4.8,1646651
IDN,8848.224737,10.35560036,104339999
KOR,37610.97291,13.23730087,24241051
LBR,1538.850835,6.774719715,1243094
MDG,1635.245115,11.05630016,6644308
MYS,23307.96985,12.03240013,11577384
NPL,3085.31407,9.199120522,8939342
PAK,4228.781772,9.152689934,63007063
RWA,1779.158511,22.42720032,3122528
STP,4882.047965,8.283720016,56327
TUR,19564.7889,9.339050293,30932172
TUV,3506.060234,12.63370037,3814
USA,59789.41291,13.31000042,128452015
EGY,13082.42637,3.4,33859310
NER,1318.10131,11.1,4530636
NGA,5488.004815,5.7,51097764
PSE,5805.321153,5.1,1154757
TUN,12068.70037,7,4741008
BEL,56610.26701,6.392739773,4565931
CHL,25366.26902,12.29949951,7397081
COG,8492.420984,6.569740295,1564961
GTM,10032.08835,9.97892952,4615586
HND,5488.433716,12.35909939,2888244
LBN,17353.19608,5.472310066,2145167
MNG,10960.09593,9.093009949,1197817
SEN,3362.879405,11.84899998,3881193
SLE,2592.858935,4.107619762,1920156
ZAF,14451.92918,21.08349991,20767659
THA,16766.34771,9.353079796,32396636
TGO,2048.815489,12.20389938,2213268
ALB,12292.29683,8.05,1140521
LVA,27496.54546,7.69,853418
ARG,28825.96669,8.786640167,16270003
AUT,61451.5491,9.944570541,3672055
BOL,8108.205188,7.288459778,3710144
BRA,18832.21955,10.4555006,85912345
BGR,22610.05728,7.829859734,3071236
KHM,4159.163541,5.127590179,5432660
HRV,28260.83662,11.58699989,1756245
CZE,39347.0493,10.51640034,4554731
DNK,60000.89031,7.748030186,2214223
DOM,15487.27764,10.00719929,3900500
ECU,12961.02674,7.195869923,5906323
EST,34115.36222,6.462009907,549318
FIN,53957.6681,7.911459923,2090406
FRA,49935.62691,9.035229683,25759238
DEU,58158.13797,14.45199966,33761684
GHA,5339.713219,12.51029968,9106672
GRC,31250.22686,6.389400482,4732350
HTI,3285.707546,11.41870022,3475817
HUN,28179.65646,13.22920036,4156340
ISL,55719.26096,7.247710228,130353
ITA,47795.95794,6.617470264,25569896
LTU,30920.3304,12.87199974,1236882
LUX,128895.4051,10.60509968,242633
MLT,38899.98733,9.785570145,173461
MUS,20183.70007,15.1218996,575320
MEX,20898.93572,10.11750031,46144220
MDA,10158.38547,8.685349464,1240234
NLD,61480.8126,9.666549683,6907004
NOR,84237.14957,8.931130409,2061131
PAN,26926.88528,10.02869987,1519412
PRY,12834.80159,8.668270111,2173245
PER,13395.39938,8.059530258,11447914
POL,28952.91573,10.53789997,16615290
PRT,34804.63319,9.176199913,4477068
ROU,26764.58126,10.27439976,8491603
SVK,30894.25128,8.546830177,2442409
SVN,37043.06469,9.569840431,909227
ESP,41034.04816,7.827579975,21624463
LKA,11447.69377,7.912149906,8768731
SWE,56200.90226,4.65790987,3711482
CHE,74883.61589,11.63299942,3512559
TZA,2822.485352,18.25309944,13508720
UGA,2405.094559,14.34939957,8622961
GBR,47550.94285,11.89459991,26057768
URY,26953.28111,9.816110611,1293108
ZMB,3474.552528,17.0727005,4373135
SRB,18162.1903,10,2929130
GEO,13913.00182,11.40950012,1552189
MWI,1555.506074,17.00049973,4484502
UKR,17889.0918,5.688970089,20951503
COL,16480.36315,11.3,19430403
VNM,8751.882806,5.7,40468491
ETH,1821.391618,12.37339973,29206245
NAM,11982.69636,9.075200081,788218
PHL,7340.361586,8.303719521,38089518