iso3c,year,access_electricity,area
COD,2000,,rural
COD,2000,20,urban
COD,2001,,rural
COD,2001,23.9,urban
COD,2002,,rural
COD,2002,25.4,urban
COD,2003,,rural
COD,2003,26.9,urban
COD,2004,,rural
COD,2004,28.4,urban
COD,2005,,rural
COD,2005,30,urban
COD,2006,,rural
COD,2006,31.4,urban
COD,2007,1.8,rural
COD,2007,36.6,urban
COD,2008,,rural
COD,2008,34.6,urban
COD,2009,,rural
COD,2009,36.2,urban
COD,2010,,rural
COD,2010,37.8,urban
COD,2011,,rural
COD,2011,39.4,urban
COD,2012,,rural
COD,2012,40.8,urban
COD,2013,,rural
COD,2013,42.5,urban
COD,2014,,rural
COD,2014,42,urban
COD,2015,1,rural
COD,2015,37.5,urban
COD,2016,1,rural
COD,2016,38.6,urban
COD,2017,1,rural
COD,2017,39.7,urban
COD,2018,1,rural
COD,2018,40.8,urban
COD,2019,1,rural
COD,2019,41.2,urban
COD,2020,1,rural
COD,2020,42.8,urban
COD,2021,1,rural
COD,2021,43.8,urban
COD,2022,1,rural
COD,2022,45.3,urban
COD,2023,1,rural
COD,2023,55.6,urban
ETH,2000,1.7,rural
ETH,2000,76.2,urban
ETH,2001,,rural
ETH,2001,79.3,urban
ETH,2002,,rural
ETH,2002,79.9,urban
ETH,2003,1.4,rural
ETH,2003,80.6,urban
ETH,2004,3.1,rural
ETH,2004,81.2,urban
ETH,2005,0.6,rural
ETH,2005,85.7,urban
ETH,2006,6.5,rural
ETH,2006,82.6,urban
ETH,2007,8.2,rural
ETH,2007,83.3,urban
ETH,2008,9.7,rural
ETH,2008,84,urban
ETH,2009,11.3,rural
ETH,2009,84.8,urban
ETH,2010,12.9,rural
ETH,2010,85.6,urban
ETH,2011,9.6,rural
ETH,2011,85.2,urban
ETH,2012,16.1,rural
ETH,2012,87.1,urban
ETH,2013,17.8,rural
ETH,2013,87.8,urban
ETH,2014,12,rural
ETH,2014,92,urban
ETH,2015,15.5,rural
ETH,2015,85,urban
ETH,2016,32.4,rural
ETH,2016,85.4,urban
ETH,2017,31,rural
ETH,2017,96.6,urban
ETH,2018,32.5,rural
ETH,2018,91.8,urban
ETH,2019,36,rural
ETH,2019,92.7,urban
ETH,2020,39.4,rural
ETH,2020,93.5,urban
ETH,2021,42.8,rural
ETH,2021,94.3,urban
ETH,2022,43,rural
ETH,2022,94,urban
ETH,2023,43.6,rural
ETH,2023,94.7,urban
NGA,2000,21.5,rural
NGA,2000,83.8,urban
NGA,2001,21.8,rural
NGA,2001,83.8,urban
NGA,2002,22.1,rural
NGA,2002,83.8,urban
NGA,2003,32.7,rural
NGA,2003,84.9,urban
NGA,2004,22.8,rural
NGA,2004,83.8,urban
NGA,2005,23.1,rural
NGA,2005,83.8,urban
NGA,2006,23.5,rural
NGA,2006,83.9,urban
NGA,2007,25.3,rural
NGA,2007,86.2,urban
NGA,2008,25.6,rural
NGA,2008,84.8,urban
NGA,2009,24.6,rural
NGA,2009,84.1,urban
NGA,2010,23.5,rural
NGA,2010,79.8,urban
NGA,2011,31,rural
NGA,2011,87.1,urban
NGA,2012,27,rural
NGA,2012,84.5,urban
NGA,2013,31.6,rural
NGA,2013,83.6,urban
NGA,2014,27.1,rural
NGA,2014,84.7,urban
NGA,2015,25.9,rural
NGA,2015,81.5,urban
NGA,2016,34,rural
NGA,2016,86,urban
NGA,2017,22.6,rural
NGA,2017,86.8,urban
NGA,2018,31,rural
NGA,2018,81.7,urban
NGA,2019,25.5,rural
NGA,2019,83.9,urban
NGA,2020,24.6,rural
NGA,2020,83.9,urban
NGA,2021,26.3,rural
NGA,2021,89.2,urban
NGA,2022,27,rural
NGA,2022,89,urban
NGA,2023,32.9,rural
NGA,2023,85,urban