ineq_type,year,country_count
high,1995,72
high,1996,72
high,1997,72
high,1998,72
high,1999,72
high,2000,72
high,2001,71
high,2002,71
high,2003,72
high,2004,74
high,2005,71
high,2006,71
high,2007,68
high,2008,69
high,2009,65
high,2010,66
high,2011,66
high,2012,66
high,2013,62
high,2014,62
high,2015,60
high,2016,59
high,2017,59
high,2018,54
high,2019,53
high,2020,51
high,2021,46
high,2022,45
high,2023,44
high,2024,43
moderate,1995,75
moderate,1996,75
moderate,1997,75
moderate,1998,75
moderate,1999,75
moderate,2000,75
moderate,2001,76
moderate,2002,76
moderate,2003,71
moderate,2004,75
moderate,2005,75
moderate,2006,76
moderate,2007,78
moderate,2008,75
moderate,2009,78
moderate,2010,76
moderate,2011,76
moderate,2012,76
moderate,2013,80
moderate,2014,83
moderate,2015,86
moderate,2016,87
moderate,2017,87
moderate,2018,89
moderate,2019,88
moderate,2020,85
moderate,2021,90
moderate,2022,92
moderate,2023,91
moderate,2024,93
low,1995,22
low,1996,22
low,1997,22
low,1998,22
low,1999,22
low,2000,22
low,2001,22
low,2002,22
low,2003,26
low,2004,20
low,2005,23
low,2006,22
low,2007,23
low,2008,25
low,2009,26
low,2010,27
low,2011,27
low,2012,27
low,2013,27
low,2014,24
low,2015,23
low,2016,23
low,2017,23
low,2018,26
low,2019,28
low,2020,33
low,2021,33
low,2022,32
low,2023,34
low,2024,33