iso3c,percentile,income,prosperity_gap
COL,1,0.34,85.62
COL,2,0.92,31.61
COL,3,1.43,19.7
COL,4,1.81,15.54
COL,5,2.12,13.23
COL,6,2.39,11.72
COL,7,2.64,10.62
COL,8,2.87,9.76
COL,9,3.1,9.03
COL,10,3.33,8.42
COL,11,3.52,7.96
COL,12,3.72,7.53
COL,13,3.92,7.14
COL,14,4.12,6.8
COL,15,4.31,6.49
COL,16,4.49,6.23
COL,17,4.69,5.97
COL,18,4.88,5.74
COL,19,5.07,5.52
COL,20,5.26,5.32
COL,21,5.44,5.15
COL,22,5.62,4.98
COL,23,5.79,4.83
COL,24,5.97,4.69
COL,25,6.16,4.55
COL,26,6.35,4.41
COL,27,6.54,4.28
COL,28,6.72,4.17
COL,29,6.9,4.06
COL,30,7.07,3.96
COL,31,7.27,3.85
COL,32,7.47,3.75
COL,33,7.66,3.66
COL,34,7.85,3.57
COL,35,8.06,3.48
COL,36,8.26,3.39
COL,37,8.47,3.31
COL,38,8.67,3.23
COL,39,8.87,3.16
COL,40,9.08,3.08
COL,41,9.28,3.02
COL,42,9.5,2.95
COL,43,9.73,2.88
COL,44,9.96,2.81
COL,45,10.21,2.74
COL,46,10.44,2.68
COL,47,10.7,2.62
COL,48,10.96,2.55
COL,49,11.23,2.49
COL,50,11.51,2.43
COL,51,11.8,2.37
COL,52,12.08,2.32
COL,53,12.38,2.26
COL,54,12.7,2.2
COL,55,13,2.15
COL,56,13.29,2.11
COL,57,13.62,2.06
COL,58,13.93,2.01
COL,59,14.25,1.97
COL,60,14.61,1.92
COL,61,15.01,1.87
COL,62,15.39,1.82
COL,63,15.79,1.77
COL,64,16.19,1.73
COL,65,16.59,1.69
COL,66,17.02,1.65
COL,67,17.45,1.6
COL,68,17.91,1.56
COL,69,18.41,1.52
COL,70,18.94,1.48
COL,71,19.51,1.44
COL,72,20.1,1.39
COL,73,20.72,1.35
COL,74,21.37,1.31
COL,75,22,1.27
COL,76,22.68,1.23
COL,77,23.4,1.2
COL,78,24.2,1.16
COL,79,25.06,1.12
COL,80,26,1.08
COL,81,26.88,1.04
COL,82,27.86,1.01
COL,83,28.95,0.97
COL,84,30.12,0.93
COL,85,31.44,0.89
COL,86,32.93,0.85
COL,87,34.58,0.81
COL,88,36.37,0.77
COL,89,38.53,0.73
COL,90,41.02,0.68
COL,91,43.85,0.64
COL,92,47.28,0.59
COL,93,51.37,0.55
COL,94,56.3,0.5
COL,95,62.09,0.45
COL,96,70.11,0.4
COL,97,80.6,0.35
COL,98,96.55,0.29
COL,99,125.63,0.22
COL,100,236.72,0.13
PER,1,1.15,28.3
PER,2,1.88,15
PER,3,2.3,12.2
PER,4,2.64,10.62
PER,5,2.93,9.57
PER,6,3.21,8.74
PER,7,3.47,8.07
PER,8,3.71,7.54
PER,9,3.93,7.13
PER,10,4.13,6.78
PER,11,4.32,6.49
PER,12,4.49,6.23
PER,13,4.66,6.01
PER,14,4.86,5.77
PER,15,5.04,5.56
PER,16,5.23,5.36
PER,17,5.42,5.17
PER,18,5.6,5
PER,19,5.78,4.85
PER,20,5.93,4.72
PER,21,6.07,4.61
PER,22,6.22,4.5
PER,23,6.38,4.39
PER,24,6.54,4.28
PER,25,6.71,4.18
PER,26,6.87,4.08
PER,27,7.03,3.98
PER,28,7.19,3.89
PER,29,7.37,3.8
PER,30,7.53,3.72
PER,31,7.68,3.64
PER,32,7.84,3.57
PER,33,8,3.5
PER,34,8.14,3.44
PER,35,8.29,3.38
PER,36,8.46,3.31
PER,37,8.64,3.24
PER,38,8.81,3.18
PER,39,8.98,3.12
PER,40,9.15,3.06
PER,41,9.31,3.01
PER,42,9.48,2.96
PER,43,9.66,2.9
PER,44,9.83,2.85
PER,45,10.01,2.8
PER,46,10.2,2.75
PER,47,10.41,2.69
PER,48,10.56,2.65
PER,49,10.75,2.61
PER,50,10.95,2.56
PER,51,11.11,2.52
PER,52,11.33,2.47
PER,53,11.53,2.43
PER,54,11.73,2.39
PER,55,11.92,2.35
PER,56,12.13,2.31
PER,57,12.32,2.27
PER,58,12.51,2.24
PER,59,12.71,2.2
PER,60,12.94,2.16
PER,61,13.16,2.13
PER,62,13.38,2.09
PER,63,13.61,2.06
PER,64,13.84,2.02
PER,65,14.09,1.99
PER,66,14.35,1.95
PER,67,14.62,1.92
PER,68,14.9,1.88
PER,69,15.18,1.84
PER,70,15.47,1.81
PER,71,15.73,1.78
PER,72,16.05,1.74
PER,73,16.36,1.71
PER,74,16.71,1.68
PER,75,17.09,1.64
PER,76,17.54,1.6
PER,77,17.98,1.56
PER,78,18.42,1.52
PER,79,18.88,1.48
PER,80,19.34,1.45
PER,81,19.88,1.41
PER,82,20.39,1.37
PER,83,20.96,1.34
PER,84,21.62,1.3
PER,85,22.28,1.26
PER,86,22.96,1.22
PER,87,23.62,1.19
PER,88,24.42,1.15
PER,89,25.35,1.1
PER,90,26.59,1.05
PER,91,27.61,1.01
PER,92,28.9,0.97
PER,93,30.4,0.92
PER,94,32.36,0.87
PER,95,34.59,0.81
PER,96,37.54,0.75
PER,97,41.43,0.68
PER,98,47.5,0.59
PER,99,57.88,0.49
PER,100,96.58,0.31