iso3c,urb_pop,gdp
AFG,25.70073526,
ALB,58.5463634,11377.77574
DZA,75.27929072,5752.990767
ASM,80.9446987,
AND,88.88500448,49303.64917
AGO,70.6551379,2665.874448
ATG,24.39069193,23542.45269
ARG,92.2742316,13969.78366
ARM,65.81136714,8556.21407
ABW,61.79093968,39498.59413
AUS,87.602147,64603.98563
AUT,69.46581811,58268.87877
AZE,58.57379584,7283.849908
BHS,81.3249263,39455.44665
BHR,100,29653.56827
BGD,32.67831963,2593.416117
BRB,59.53970324,26544.87073
BLR,79.15510152,8317.633999
BEL,87.6126557,56614.56795
BLZ,41.75321073,7681.244006
BEN,52.54553548,1485.380189
BMU,100,142855.3747
BTN,42.56452498,
BOL,71.23614538,4421.166099
BIH,52.12243028,9358.78769
BWA,67.46235378,7695.753194
BRA,87.89585495,10310.54888
VGB,56.5072069,
BRN,74.89831339,33153.47389
BGR,73.94993569,17596.01737
BFA,28.33525149,981.9926498
BDI,24.83028387,219.4248309
CPV,76.7721471,5192.481573
KHM,40.87270333,2627.879698
CMR,55.40317486,1830.008337
CAN,82.70025658,54340.34772
CYM,100,
CAF,44.12435556,516.161
TCD,26.93152924,961.5597556
CHI,32.70562112,
CHL,88.99509085,16709.8894
CHN,65.8946981,13303.14815
COL,78.52108119,7919.208868
COM,33.53922157,1662.756633
COD,44.74558044,649.3833386
COG,63.88661117,2482.248995
CRI,79.31076724,18587.15322
CIV,53.97331139,2727.893522
HRV,57.51589817,24050.43979
CUB,77.16649292,
CUW,91.43218124,22832.8954
CYP,66.68242592,38674.29297
CZE,72.79479846,31823.30783
DNK,88.69605527,71026.48323
DJI,72.90526351,3552.723351
DMA,73.544984,10405.27878
DOM,72.41218748,10875.66184
ECU,63.23769324,6874.70574
EGY,42.80043639,3338.473714
SLV,75.06749051,5579.659692
GNQ,71.35740287,6745.400132
ERI,34.53655243,
EST,70.69811615,31428.35478
SWZ,26.24984613,3909.558924
ETH,23.62228394,1133.882797
FRO,39.41323259,74119.66076
FJI,59.07666023,6425.741517
FIN,74.26371905,53149.76719
FRA,78.7999751,46103.08409
PYF,61.71919847,22439.88387
GAB,91.86320947,8230.043115
GMB,64.29941034,871.3402918
GEO,61.07896051,9241.491223
DEU,82.02114326,56103.73232
GHA,58.3654868,2390.772377
GIB,100,
GRC,78.99678565,24626.14819
GRL,88.31953479,
GRD,36.56280005,11705.0903
GUM,94.17263466,
GTM,55.95470273,6150.025714
GIN,38.07130367,1694.953759
GNB,46.11320442,1007.741517
GUY,26.47771799,29675.24439
HTI,55.03726525,2142.623305
HND,58.78507281,3426.434833
HKG,100,54074.69285
HUN,70.49182594,23292.32639
ISL,94.18190399,86040.53099
IND,35.37889724,2694.737809
IDN,58.75096354,4925.430488
IRN,77.02012634,5190.16959
IRQ,69.88614941,6073.610323
IRL,64.34703793,112894.9532
IMN,52.16334058,
ISR,91.53618884,54176.68444
ITA,69.60475351,40385.3414
JAM,58.93015854,7753.800696
JPN,92.1901718,32487.0778
JOR,92.95013938,4618.095925
KAZ,62.07253158,14154.6325
KEN,31.89378317,2132.434521
KIR,62.46204313,2288.634714
PRK,63.85897482,
KOR,81.16825285,36238.63991
XKX,50.32144439,7023.065985
KWT,100,32717.71866
KGZ,34.72199779,2420.185423
LAO,39.55521544,2123.979094
LVA,68.48394926,23409.08452
LBN,90.70369578,
LSO,43.67803342,971.9077182
LBR,55.53879867,851.4977239
LBY,87.88540661,6569.164087
LIE,14.6575849,
LTU,68.82858333,29384.01896
LUX,94.84387029,137781.6817
MAC,100,72004.7437
MDG,32.43398933,544.987501
MWI,17.26850353,522.5703936
MYS,76.91702966,11874.42737
MDV,41.99821527,13379.35136
MLI,31.60756212,1094.619493
MLT,95.65462645,43898.57818
MHL,78.73256602,7726.336689
MRT,60.60685864,2110.120369
MUS,39.0162147,11990.77989
MEX,79.7538806,14185.78122
FSM,22.45628302,4166.004767
MDA,43.51647186,7576.195894
MCO,100,288001.4334
MNG,70.956604,6750.630116
MNE,65.54223147,13263.32813
MAR,62.7998124,4153.194336
MOZ,36.43323374,656.7768246
MMR,30.44990841,1359.050016
M,50.40880303,4413.127522
NRU,100,13609.15884
NPL,66.77234316,1447.310045
NLD,95.63965171,67520.4219
NCL,67.95146956,29213.19232
NZL,83.93706588,49205.17921
NIC,59.26284027,2847.539663
NER,18.04973985,735.2702558
NGA,62.97556756,1084.160418
MKD,62.56453769,9291.856617
MNP,92.07472609,
NOR,83.32937379,86785.43345
OMN,79.44403028,20285.22729
PAK,39.17343684,1478.77278
PLW,79.20950429,
PAN,65.99584477,19161.21885
PNG,15.40618164,3006.705645
PRY,69.86225859,6416.09709
PER,85.19127296,8452.371671
PHL,55.45209832,3984.831539
POL,59.97054687,25103.56566
PRT,61.32819073,29292.2421
QAT,99.32198917,76688.69417
ROU,52.16747789,20080.20962
RUS,75.11191362,14889.01855
RWA,29.88497143,999.6545617
WSM,17.50291151,5392.877619
SMR,97.15605559,
STP,68.87101702,3490.568835
SAU,84.45540202,35121.66287
SEN,55.23681691,1773.218299
SRB,62.38300298,13679.2066
SYC,45.28986225,17858.82264
SLE,45.36268232,806.6546504
SGP,100,90674.06663
SXM,100,41472.58745
SVK,53.1919703,25992.67485
SVN,55.75777084,34301.03187
SLB,30.66171886,1933.555384
ZAF,63.69179849,6267.186814
SSD,21.37681904,
ESP,80.31519982,35326.76831
LKA,20.29969971,4515.567873
K,31.7950619,23960.65344
LCA,29.09733542,14181.63034
MAF,100,
VCT,47.84870505,11501.22652
SDN,34.86730155,984.607666
SUR,65.76418572,6961.78956
SWE,88.85597483,57117.48774
CHE,85.461537,103998.1867
SYR,72.07613458,
TJK,26.17880637,1341.20229
TZA,36.16844589,1186.716919
THA,61.86893384,7346.620221
TLS,28.66410742,1331.970513
TGO,43.81484916,1119.381605
TON,21.15052711,
TTO,53.96105668,18733.41104
TUN,70.35853557,4181.137893
TUR,89.34431229,15892.71573
TKM,47.08752539,6856.658027
TCA,94.16709179,37506.77984
TUV,64.72547934,
UGA,31.27776982,1077.912785
UKR,69.53156432,5389.473145
ARE,85.81710883,50273.50605
GBR,83.24295444,53246.36761
USA,80.1247798,84534.04078
URY,95.59819516,23906.5133
UZB,50.99866867,3161.700106
VUT,22.28669334,3410.770232
VEN,89.28585988,4217.591026
VNM,38.49007034,4717.290287
VIR,95.3312197,
PSE,87.11960141,2592.305912
YEM,36.80775176,
ZMB,45.47038385,1187.109434
ZWE,39.89337168,2497.203322