iso3c,income_level_iso3c,availability_pct,gdp,pop,spi_index_alt,sdg_speed,spi_speed
AFG,LIC,56.9,2211,41454761,47.5,1.108,1.078
AGO,LMC,52.4,8041,36749906,52.8,0.515,1.3
ALB,UMC,67.7,21926,2745972,80.4,0.722,1.649
AND,HIC,32.3,71731,80856,46.1,1.09,
ARE,HIC,55.2,76110,10483751,75.7,1.357,2.269
ARG,UMC,67.3,30082,45538401,73.6,0.79,0.882
ARM,UMC,64.5,21343,2990900,80,0.769,0.52
ATG,HIC,48,32149,93316,51.4,0.663,
AUS,HIC,66.5,69231,26658948,92.9,0.845,
AUT,HIC,70.6,73135,9131761,90.2,1.235,
AZE,UMC,60.1,23598,10153958,60.1,0.629,1.088
BDI,LIC,54.4,920,13689450,30.7,0.748,-0.121
BEL,HIC,69,72071,11787423,88.6,1.16,
BEN,LMC,57.7,4130,14111034,58.3,0.726,1.542
BFA,LIC,62.1,2755,23025776,63.7,0.891,1.637
BGD,LMC,66.9,9148,171466990,63.4,0.902,1.261
BGR,HIC,67.7,38905,6446596,87.1,0.94,
BHR,HIC,49.2,63498,1577059,46.6,1.151,0.703
BHS,HIC,37.9,36742,399440,46.5,0.53,1.113
BIH,UMC,60.5,23422,3185073,67.2,0.748,1.546
BLR,UMC,67.7,30763,9178298,74.2,1.323,1.004
BLZ,UMC,53.2,13823,411106,62.5,0.631,1.714
BOL,LMC,65.3,10925,12244159,60.5,0.826,1.309
BRA,UMC,65.7,21107,211140729,80.8,0.647,0.854
BRB,HIC,42.3,21336,282336,59.2,0.069,
BRN,HIC,45.2,85268,458949,57.5,1.333,
BTN,LMC,50.8,,786385,50.7,0.4,0.927
BWA,UMC,54.4,20916,2480244,63.9,0.612,1.376
CAF,LIC,48,1260,5152421,39.2,0.826,
CAN,HIC,69.4,61651,40097761,94.2,1.16,
CHE,HIC,71,92580,8888093,87.5,1.112,
CHL,HIC,64.5,33235,19658835,85.1,0.558,0.902
CHN,UMC,60.5,24569,1410710000,48.5,1.011,0.316
CIV,LMC,65.3,7198,31165654,55.3,1.14,1.355
CMR,LMC,55.2,5406,28372687,51.8,0.531,0.805
COD,LIC,51.6,1616,105789731,41.2,0.874,1.034
COG,LMC,47.2,6850,6182885,33.8,0.455,0.409
COL,UMC,79,21448,52321152,82.7,1,1.63
CPV,LMC,54.8,10309,522331,51.7,0.594,0.643
CRI,UMC,71.4,28536,5105525,84,0.736,1.511
CYP,HIC,60.1,60145,1344976,86.9,0.81,
CZE,HIC,67.7,55875,10864042,90.1,1.122,
DEU,HIC,73,71438,83280000,92.2,1.31,
DJI,LMC,41.9,7104,1152944,32.2,0.632,0.776
DMA,UMC,38.7,19334,66510,32.6,0.157,
DNK,HIC,70.2,77237,5946952,95.2,1.135,
DOM,UMC,66.1,25624,11331265,63.6,0.808,0.935
DZA,UMC,56.5,16824,46164219,52.7,0.639,1.262
ECU,UMC,70.2,16062,17980083,70,0.747,0.516
EGY,LMC,64.9,18525,114535772,75.3,0.558,0.49
ESP,HIC,71.4,54123,48347910,93,1.172,
EST,HIC,69.8,49501,1370286,92.9,0.85,
ETH,LIC,60.5,3058,128691692,48.2,0.875,0.851
FIN,HIC,76.2,64056,5583911,94.9,1.244,
FJI,UMC,61.3,15152,924145,55.2,0.788,0.896
FRA,HIC,76.2,61473,68287487,91,1.303,
FSM,LMC,39.5,4314,112630,35.4,0.888,0.66
GAB,UMC,48,20757,2484789,36,1.002,0.808
GBR,HIC,72.2,59626,68350000,84.9,1.273,0.549
GEO,UMC,70.6,25072,3715483,87.2,0.996,
GHA,LMC,62.9,7543,33787914,59.7,0.807,1.028
GIN,LMC,49.6,4383,14405468,36.7,0.935,0.438
GMB,LIC,63.3,3254,2697845,54.4,1.278,1.169
GNB,LIC,46.4,2862,2153339,26.1,0.71,0.07
GNQ,UMC,41.9,17412,1847549,28.2,0.632,
GRC,HIC,67.3,41923,10405588,89.8,1.022,
GRD,UMC,46.4,18808,117081,35.4,0.628,
GTM,UMC,63.3,13750,18124838,70.7,0.48,1.78
GUY,HIC,57.7,54732,826353,46.4,0.927,0.978
HND,LMC,62.9,7179,10644851,51.6,0.692,0.643
HRV,HIC,60.5,46778,3859686,86.4,0.516,
HTI,LMC,45.2,3281,11637398,28.8,0.736,0.525
HUN,HIC,72.2,45931,9592186,89.9,1.337,
IDN,UMC,69.4,15416,281190067,73.4,0.812,0.817
IND,LMC,67.7,10166,1438069596,68,0.94,0.457
IRL,HIC,67.3,127873,5307600,91.1,1.149,
IRN,UMC,51.6,17660,90608707,59.2,0.327,1.563
IRQ,UMC,54,14107,45074049,46.2,0.612,1.082
ISL,HIC,60.9,78380,393349,76.5,1.124,0.327
ISR,HIC,57.7,53823,9756600,89.5,1.074,1.003
ITA,HIC,72.2,59720,58993475,91.6,1.034,
JAM,UMC,61.3,11422,2839786,60.1,0.669,1.408
JOR,LMC,64.9,10391,11439213,76.3,0.769,1.926
JPN,HIC,66.9,50106,124516650,89.8,1.084,
KAZ,UMC,66.1,38515,20330104,74.7,0.752,0.832
KEN,LMC,69,6307,55339003,59.6,1.16,1.088
KGZ,LMC,62.9,7106,7099750,66.4,0.692,-0.691
KHM,LMC,66.1,7426,17423880,54.3,0.864,0.988
KIR,LMC,52.8,3547,132530,41.7,0.923,1.081
KNA,HIC,34.7,33750,46758,35.2,0.281,
KOR,HIC,70.2,54033,51712619,91.1,1.074,
KWT,HIC,51.2,51561,4853420,61.6,0.672,1.698
LAO,LMC,53.6,9292,7664993,48.3,0.424,0.851
LBN,LMC,59.3,,5773493,51,0.9,1.379
LBR,LIC,56,1795,5493031,53.2,0.84,1.478
LBY,UMC,37.9,13849,7305659,30.5,0.631,0.635
LCA,UMC,49.6,25974,179285,63.2,0.479,1.376
LKA,LMC,62.9,14461,22037000,73.9,0.636,0.48
LSO,LMC,49.6,2881,2311472,46.8,0.479,0.522
LTU,HIC,75.4,53185,2871585,91,1.452,
LUX,HIC,62.5,143810,666430,87.9,1.023,
LVA,HIC,68.5,41252,1877445,90.8,1.224,
MAR,LMC,62.5,9843,37712505,71.7,0.544,1.333
MDA,UMC,63.3,17597,2457783,84.5,0.807,1.284
MDG,LIC,56,1824,31195932,44.5,0.516,1.227
MDV,UMC,53.6,24735,525994,61.2,0.678,1.147
MEX,UMC,79,25351,129739759,88.5,1.047,1.47
MHL,UMC,44.8,7532,38827,37.4,1.118,1.056
MKD,UMC,61.7,26332,1827816,81.8,0.768,1.839
MLI,LIC,53.6,2658,23769127,48.7,0.547,0.749
MLT,HIC,59.7,66589,552747,83.8,1.011,0.794
MMR,LMC,64.1,5953,54133798,58.4,0.97,1.726
MNE,UMC,60.1,31748,616177,70.5,0.81,1.602
MNG,UMC,66.9,18005,3481145,78.9,0.845,1.498
MOZ,LIC,54,1678,33635160,54,0.547,0.938
MRT,LMC,51.6,6946,5022441,50.1,0.955,1.416
MUS,UMC,66.1,29511,1261041,74.5,0.699,0.257
MWI,LIC,66.5,1830,21104482,52,1.216,0.855
MYS,UMC,71.8,36417,35126298,78.9,0.978,1.897
NAM,UMC,55.2,11216,2963095,53.9,0.47,1.082
NER,LIC,54.8,1891,26159867,56.1,0.794,1.339
NGA,LMC,59.3,6207,227882945,49.6,0.97,0.509
NIC,LMC,52.4,8309,6823613,47.3,0.211,0.972
NLD,HIC,69,80761,17877117,93.5,1.16,
NOR,HIC,70.6,104416,5519594,93.7,1.235,
NPL,LMC,64.5,5394,29694614,53.1,0.769,0.97
NRU,HIC,39.9,13832,11875,33.6,1.359,
NZL,HIC,65.3,53834,5223100,90.4,1.209,
OMN,HIC,50.4,42520,5049269,53.6,0.479,1.29
PAK,LMC,62.9,6037,247504495,57.2,0.636,1.128
PAN,HIC,64.5,39803,4458759,64.8,0.714,1.827
PER,UMC,78.2,16974,33845617,64.3,1.158,0.801
PHL,LMC,70.2,10989,114891199,80.3,0.798,0.935
PLW,HIC,44.4,17532,17727,54.5,1.161,
PNG,LMC,48.8,4633,10389635,33.7,0.567,0.756
POL,HIC,72.6,49338,36687353,96.2,1.248,
PRT,HIC,71.4,48859,10578174,92.4,1.172,
PRY,UMC,62.5,17517,6844146,68.1,0.652,1.604
PSE,LMC,55.6,5897,5165775,82.2,0.84,2.07
QAT,HIC,55.2,128919,2656032,62.6,1.018,1.796
ROU,HIC,67.7,47864,19059479,86.4,0.94,
RUS,HIC,62.9,44120,143826130,83,0.995,0.681
RWA,LIC,58.9,3396,13954471,66,1.041,1.309
SAU,HIC,59.7,61103,33264292,87.5,1.397,3.052
SDN,LIC,48.4,2740,50042791,36.7,0.826,0.716
SEN,LMC,59.7,4791,18077573,69.2,0.942,1.718
SGP,HIC,52.4,141553,5917648,91.4,1.213,
SLB,LMC,48.4,2812,800005,40.4,0.663,0.866
SLE,LIC,50.8,3368,8460512,52.5,0.747,1.196
SLV,UMC,65.7,12657,6309624,67.8,0.699,0.7
SOM,LIC,47.2,1557,18358615,33,1.039,1.255
SRB,UMC,72.6,29622,6623183,77.7,1.072,1.17
SSD,LIC,39.9,,11483374,13.4,,
STP,LMC,47.6,6150,230871,47.3,0.586,0.419
SUR,UMC,50,21136,628886,58.9,0.772,1.394
SVK,HIC,65.7,44689,5426740,91.5,1.178,
SVN,HIC,72.6,55710,2120461,93.3,1.187,
SWE,HIC,74.6,69224,10536632,93.8,1.264,
SWZ,LMC,58.9,11245,1230506,49.4,0.833,1.211
SYC,HIC,46.4,32706,119773,57.2,0.547,0.455
SYR,LIC,41.9,,23594623,25.5,-0.067,0.122
TCD,LIC,50.8,1864,19319064,42.1,1.163,1.081
TGO,LIC,58.5,3072,9304337,54.3,0.726,1.169
THA,UMC,74.2,23465,71702435,72.3,1.11,0.061
TJK,LMC,53.6,4964,10389799,36.8,0.748,0.091
TKM,UMC,51.2,19829,7364438,9,1.354,0
TLS,LMC,44.8,4804,1384286,55.4,0.063,1.284
TON,UMC,56,,104597,51.5,1.313,
TTO,HIC,52,35189,1367510,50.8,0.388,1.203
TUN,LMC,59.7,13932,12200431,70.9,0.687,1.138
TUR,UMC,73.4,44604,85325965,84.2,0.963,0.861
TUV,UMC,44.4,6151,9816,33.2,1.271,
TZA,LMC,63.3,4019,66617606,58.6,0.583,0.778
UGA,LIC,62.5,3098,48656601,60.3,0.544,0.571
UKR,UMC,67.7,17630,37732836,69.5,0.828,0.817
URY,HIC,59.3,34427,3388081,77.3,0.587,1.34
USA,HIC,65.7,82769,334914895,92.9,0.923,
UZB,LMC,67.3,11107,35652307,78.9,1.432,3.072
VCT,UMC,44,20349,101323,51.8,0.504,1.119
VEN,INX,44,,28300854,26.1,0.065,-0.392
VNM,LMC,68.5,14974,100352192,57.3,0.921,1.022
VUT,LMC,50.4,3461,320409,42.9,0.548,0.612
WSM,LMC,56,6997,216663,56.4,0.84,1.066
YEM,LIC,50,,39390799,24.5,0.479,0.104
ZAF,UMC,66.1,15194,63212384,82.9,0.596,0.813
ZMB,LMC,56.9,4077,20723965,47.8,0.621,0.485
ZWE,LMC,64.5,3820,16340822,55.1,1.355,1.467