iso3c,year,rate
AGO,2015,35.6
AGO,2025,42.3
BDI,2015,75.4
BDI,2025,74.3
BEN,2015,41.4
BEN,2025,21.9
BFA,2015,52.6
BFA,2025,34.6
BWA,2015,20.8
BWA,2025,20.1
CAF,2015,73.9
CAF,2025,67.1
CIV,2015,26.3
CIV,2025,16.1
CMR,2015,27.4
CMR,2025,28.2
COD,2015,84.3
COD,2025,81.1
COG,2015,39
COG,2025,51.7
COM,2015,9.3
COM,2025,4.6
CPV,2015,14.6
CPV,2025,9.5
ETH,2015,33.4
ETH,2025,41.8
GAB,2015,3.6
GAB,2025,4.9
GHA,2015,40.9
GHA,2025,38.9
GIN,2015,17
GIN,2025,7.6
GMB,2015,17
GMB,2025,20.3
GNB,2015,40.8
GNB,2025,39.8
GNQ,2015,6.5
GNQ,2025,10.4
KEN,2015,38.2
KEN,2025,42.5
LBR,2015,32.3
LBR,2025,32.9
LSO,2015,41.2
LSO,2025,44.7
MDG,2015,68.4
MDG,2025,66.5
MLI,2015,33
MLI,2025,33.9
MOZ,2015,74.5
MOZ,2025,81.8
MRT,2015,11.1
MRT,2025,10
MUS,2015,0.7
MUS,2025,0.3
MWI,2015,71
MWI,2025,76.6
NAM,2015,24.2
NAM,2025,28.3
NER,2015,62.9
NER,2025,46.6
NGA,2015,31.8
NGA,2025,50.9
RWA,2015,54.6
RWA,2025,36
SDN,2015,10.3
SDN,2025,58.9
SEN,2015,23.3
SEN,2025,16.6
SLE,2015,50.9
SLE,2025,50.9
SSD,2015,71.3
SSD,2025,86.2
STP,2015,14.8
STP,2025,13
SWZ,2015,46.3
SWZ,2025,39.5
SYC,2015,1.3
SYC,2025,0.7
TCD,2015,37.4
TCD,2025,40.7
TGO,2015,38
TGO,2025,28.3
TZA,2015,51.3
TZA,2025,48.3
UGA,2015,58.4
UGA,2025,54.8
ZAF,2015,27.7
ZAF,2025,17.8
ZMB,2015,67.9
ZMB,2025,70.4
ZWE,2015,39.8
ZWE,2025,45.2
ALB,2015,11.4
ALB,2025,3.9
ARE,2015,0
ARE,2025,0
ARG,2015,1.1
ARG,2025,0.9
ARM,2015,2.9
ARM,2025,0.8
AUS,2015,0.6
AUS,2025,0.9
AUT,2015,0.7
AUT,2025,0.5
AZE,2015,0
AZE,2025,0
BEL,2015,0.1
BEL,2025,0.1
BGD,2015,15.2
BGD,2025,9
BGR,2015,4.6
BGR,2025,0.9
BIH,2015,0.8
BIH,2025,0.4
BLR,2015,0
BLR,2025,0
BLZ,2015,0.9
BLZ,2025,0.6
BOL,2015,6.2
BOL,2025,3.3
BRA,2015,5.4
BRA,2025,3
BRB,2015,1.6
BRB,2025,1.5
BTN,2015,0
BTN,2025,0
CAN,2015,0.4
CAN,2025,0.3
CHE,2015,0
CHE,2025,0.2
CHL,2015,0.7
CHL,2025,0.4
CHN,2015,3
CHN,2025,0
COL,2015,10.2
COL,2025,7.9
CRI,2015,2.5
CRI,2025,0.8
CYP,2015,0
CYP,2025,0
CZE,2015,0
CZE,2025,0
DEU,2015,0.1
DEU,2025,0.7
DJI,2015,29.4
DJI,2025,19.4
DNK,2015,0.2
DNK,2025,0.3
DOM,2015,2
DOM,2025,0.7
DZA,2015,0
DZA,2025,0
ECU,2015,4.8
ECU,2025,3.4
EGY,2015,0.6
EGY,2025,1
ESP,2015,1.1
ESP,2025,0.8
EST,2015,0.7
EST,2025,0.3
FIN,2015,0.1
FIN,2025,0.2
FJI,2015,5.8
FJI,2025,2.5
FRA,2015,0.1
FRA,2025,0.1
FSM,2015,25.6
FSM,2025,23.9
GBR,2015,0.3
GBR,2025,0.4
GEO,2015,10.6
GEO,2025,3.5
GRC,2015,2
GRC,2025,0.5
GRD,2015,1
GRD,2025,0.8
GTM,2015,8.1
GTM,2025,9.6
GUY,2015,8.2
GUY,2025,2.6
HND,2015,19.9
HND,2025,15.3
HRV,2015,0.7
HRV,2025,0.3
HTI,2015,39.3
HTI,2025,49
HUN,2015,1
HUN,2025,0.7
IDN,2015,21.6
IDN,2025,4
IND,2015,15.9
IND,2025,1.5
IRL,2015,0.4
IRL,2025,0.1
IRN,2015,3.1
IRN,2025,2.5
IRQ,2015,0.5
IRQ,2025,0.4
ISL,2015,0
ISL,2025,0.1
ISR,2015,0.5
ISR,2025,0.4
ITA,2015,2.1
ITA,2025,0.9
JAM,2015,0.5
JAM,2025,1.2
JOR,2015,0.2
JOR,2025,0.2
JPN,2015,0.4
JPN,2025,1
KAZ,2015,0.1
KAZ,2025,0
KGZ,2015,11
KGZ,2025,1.2
KIR,2015,8.1
KIR,2025,0.6
KOR,2015,0.2
KOR,2025,0.1
LAO,2015,18.4
LAO,2025,6
LBN,2015,3.9
LBN,2025,6.5
LCA,2015,0.1
LCA,2025,0
LKA,2015,4.4
LKA,2025,7.9
LTU,2015,1
LTU,2025,1.1
LUX,2015,0.3
LUX,2025,0.1
LVA,2015,1
LVA,2025,0.5
MAR,2015,3.3
MAR,2025,2.3
MDA,2015,0.2
MDA,2025,0.1
MDV,2015,0
MDV,2025,0
MEX,2015,4.5
MEX,2025,1.6
MHL,2015,4.3
MHL,2025,1
MKD,2015,7
MKD,2025,2.6
MLT,2015,0.1
MLT,2025,0.4
MMR,2015,18.2
MMR,2025,15
MNE,2015,3.7
MNE,2025,1.8
MNG,2015,0.3
MNG,2025,0.1
MYS,2015,0.1
MYS,2025,0
NIC,2015,6.1
NIC,2025,5.2
NLD,2015,0.1
NLD,2025,0.1
NOR,2015,0.2
NOR,2025,0.2
NPL,2015,5.3
NPL,2025,1.5
NRU,2015,6.6
NRU,2025,3.2
PAK,2015,18.2
PAK,2025,22.8
PAN,2015,4.8
PAN,2025,2.9
PER,2015,8
PER,2025,5
PHL,2015,14.6
PHL,2025,4.5
PNG,2015,46
PNG,2025,43.4
POL,2015,0.5
POL,2025,0.2
PRT,2015,0.7
PRT,2025,0.4
PRY,2015,5.5
PRY,2025,1.4
PSE,2015,1.3
PSE,2025,4.6
QAT,2015,0
QAT,2025,0
ROU,2015,7.6
ROU,2025,0.6
RUS,2015,0.4
RUS,2025,0.1
SLB,2015,42
SLB,2025,48.1
SLV,2015,5.3
SLV,2025,4.3
SRB,2015,8.4
SRB,2025,1
SUR,2015,1.1
SUR,2025,2.1
SVK,2015,0.8
SVK,2025,0.4
SVN,2015,0
SVN,2025,0
SWE,2015,0.7
SWE,2025,0.8
SYR,2015,13.8
SYR,2025,20.9
THA,2015,0.1
THA,2025,0
TJK,2015,15.7
TJK,2025,4.9
TKM,2015,5
TKM,2025,2.4
TLS,2015,43.8
TLS,2025,45.4
TON,2015,0.4
TON,2025,0.3
TTO,2015,0
TTO,2025,0
TUN,2015,0.8
TUN,2025,0.6
TUR,2015,1.8
TUR,2025,0
TUV,2015,6.4
TUV,2025,1.3
TWN,2015,0.1
TWN,2025,0.1
UKR,2015,0.3
UKR,2025,0.1
URY,2015,0.4
URY,2025,0.2
USA,2015,1.2
USA,2025,1.1
UZB,2015,7
UZB,2025,2.3
VEN,2015,
VEN,2025,
VNM,2015,2.9
VNM,2025,1.3
VUT,2015,20.4
VUT,2025,22.9
WSM,2015,3.5
WSM,2025,1.8
XKX,2015,16.6
XKX,2025,9
YEM,2015,50.1
YEM,2025,73.8